event,year,era,deaths,homes,unit_type,unit_index
Black Saturday VIC,2009,Post-2000,180,2100,deaths,134
Black Saturday VIC,2009,Post-2000,180,2100,deaths,135
Black Saturday VIC,2009,Post-2000,180,2100,deaths,136
Black Saturday VIC,2009,Post-2000,180,2100,deaths,137
Black Saturday VIC,2009,Post-2000,180,2100,deaths,138
Black Saturday VIC,2009,Post-2000,180,2100,deaths,139
Black Saturday VIC,2009,Post-2000,180,2100,deaths,140
Black Saturday VIC,2009,Post-2000,180,2100,deaths,141
Black Saturday VIC,2009,Post-2000,180,2100,deaths,142
Black Saturday VIC,2009,Post-2000,180,2100,deaths,143
Black Saturday VIC,2009,Post-2000,180,2100,deaths,144
Black Saturday VIC,2009,Post-2000,180,2100,deaths,145
Black Saturday VIC,2009,Post-2000,180,2100,deaths,146
Black Saturday VIC,2009,Post-2000,180,2100,deaths,147
Black Saturday VIC,2009,Post-2000,180,2100,deaths,148
Black Saturday VIC,2009,Post-2000,180,2100,deaths,149
Black Saturday VIC,2009,Post-2000,180,2100,deaths,150
Black Saturday VIC,2009,Post-2000,180,2100,deaths,151
Black Saturday VIC,2009,Post-2000,180,2100,deaths,152
Black Saturday VIC,2009,Post-2000,180,2100,deaths,153
Black Saturday VIC,2009,Post-2000,180,2100,deaths,154
Black Saturday VIC,2009,Post-2000,180,2100,deaths,155
Black Saturday VIC,2009,Post-2000,180,2100,deaths,156
Black Saturday VIC,2009,Post-2000,180,2100,deaths,157
Black Saturday VIC,2009,Post-2000,180,2100,deaths,158
Black Saturday VIC,2009,Post-2000,180,2100,deaths,159
Black Saturday VIC,2009,Post-2000,180,2100,deaths,160
Black Saturday VIC,2009,Post-2000,180,2100,deaths,161
Black Saturday VIC,2009,Post-2000,180,2100,deaths,162
Black Saturday VIC,2009,Post-2000,180,2100,deaths,163
Black Saturday VIC,2009,Post-2000,180,2100,deaths,164
Black Saturday VIC,2009,Post-2000,180,2100,deaths,165
Black Saturday VIC,2009,Post-2000,180,2100,deaths,166
Black Saturday VIC,2009,Post-2000,180,2100,deaths,167
Black Saturday VIC,2009,Post-2000,180,2100,deaths,168
Black Saturday VIC,2009,Post-2000,180,2100,deaths,169
Black Saturday VIC,2009,Post-2000,180,2100,deaths,170
Black Saturday VIC,2009,Post-2000,180,2100,deaths,171
Black Saturday VIC,2009,Post-2000,180,2100,deaths,172
Black Saturday VIC,2009,Post-2000,180,2100,deaths,173
